group,condition_group_and_cause,original_codes,icd_10_codes,exclusions,age_min,age_max,treatable,preventable
Infectious diseases,Intestinal diseases,A00-A09,A00,NA,0,74,0,1
Infectious diseases,Intestinal diseases,A00-A09,A01,NA,0,74,0,1
Infectious diseases,Intestinal diseases,A00-A09,A02,NA,0,74,0,1
Infectious diseases,Intestinal diseases,A00-A09,A03,NA,0,74,0,1
Infectious diseases,Intestinal diseases,A00-A09,A04,NA,0,74,0,1
Infectious diseases,Intestinal diseases,A00-A09,A05,NA,0,74,0,1
Infectious diseases,Intestinal diseases,A00-A09,A06,NA,0,74,0,1
Infectious diseases,Intestinal diseases,A00-A09,A07,NA,0,74,0,1
Infectious diseases,Intestinal diseases,A00-A09,A08,NA,0,74,0,1
Infectious diseases,Intestinal diseases,A00-A09,A09,NA,0,74,0,1
Infectious diseases,"Diphtheria, Tetanus, Poliomyelitis","A35, A36, A80",A35,NA,0,74,0,1
Infectious diseases,"Diphtheria, Tetanus, Poliomyelitis","A35, A36, A80",A36,NA,0,74,0,1
Infectious diseases,"Diphtheria, Tetanus, Poliomyelitis","A35, A36, A80",A80,NA,0,74,0,1
Infectious diseases,Whooping cough,A37,A37,NA,0,74,0,1
Infectious diseases,Meningococcal infection,A39,A39,NA,0,74,0,1
Infectious diseases,Sepsis due to streptococcus pneumonia and sepsis due to haemophilus influenzae,"A40.3, A41.3",A40.3,NA,0,74,0,1
Infectious diseases,Sepsis due to streptococcus pneumonia and sepsis due to haemophilus influenzae,"A40.3, A41.3",A41.3,NA,0,74,0,1
Infectious diseases,Haemophilus influenza infections,A49.2,A49.2,NA,0,74,0,1
Infectious diseases,Sexually transmitted infections (except HIV/AIDS),"A50-A60, A63, A64",A50,NA,0,74,0,1
Infectious diseases,Sexually transmitted infections (except HIV/AIDS),"A50-A60, A63, A64",A51,NA,0,74,0,1
Infectious diseases,Sexually transmitted infections (except HIV/AIDS),"A50-A60, A63, A64",A52,NA,0,74,0,1
Infectious diseases,Sexually transmitted infections (except HIV/AIDS),"A50-A60, A63, A64",A53,NA,0,74,0,1
Infectious diseases,Sexually transmitted infections (except HIV/AIDS),"A50-A60, A63, A64",A54,NA,0,74,0,1
Infectious diseases,Sexually transmitted infections (except HIV/AIDS),"A50-A60, A63, A64",A55,NA,0,74,0,1
Infectious diseases,Sexually transmitted infections (except HIV/AIDS),"A50-A60, A63, A64",A56,NA,0,74,0,1
Infectious diseases,Sexually transmitted infections (except HIV/AIDS),"A50-A60, A63, A64",A57,NA,0,74,0,1
Infectious diseases,Sexually transmitted infections (except HIV/AIDS),"A50-A60, A63, A64",A58,NA,0,74,0,1
Infectious diseases,Sexually transmitted infections (except HIV/AIDS),"A50-A60, A63, A64",A59,NA,0,74,0,1
Infectious diseases,Sexually transmitted infections (except HIV/AIDS),"A50-A60, A63, A64",A60,NA,0,74,0,1
Infectious diseases,Sexually transmitted infections (except HIV/AIDS),"A50-A60, A63, A64",A63,NA,0,74,0,1
Infectious diseases,Sexually transmitted infections (except HIV/AIDS),"A50-A60, A63, A64",A64,NA,0,74,0,1
Infectious diseases,Varicella,B01,B01,NA,0,74,0,1
Infectious diseases,Measles,B05,B05,NA,0,74,0,1
Infectious diseases,Rubella,B06,B06,NA,0,74,0,1
Infectious diseases,Viral Hepatitis,B15-B19,B15,NA,0,74,0,1
Infectious diseases,Viral Hepatitis,B15-B19,B16,NA,0,74,0,1
Infectious diseases,Viral Hepatitis,B15-B19,B17,NA,0,74,0,1
Infectious diseases,Viral Hepatitis,B15-B19,B18,NA,0,74,0,1
Infectious diseases,Viral Hepatitis,B15-B19,B19,NA,0,74,0,1
Infectious diseases,HIV/AIDS,B20-B24,B20,NA,0,74,0,1
Infectious diseases,HIV/AIDS,B20-B24,B21,NA,0,74,0,1
Infectious diseases,HIV/AIDS,B20-B24,B22,NA,0,74,0,1
Infectious diseases,HIV/AIDS,B20-B24,B23,NA,0,74,0,1
Infectious diseases,HIV/AIDS,B20-B24,B24,NA,0,74,0,1
Infectious diseases,Malaria,B50-B54,B50,NA,0,74,0,1
Infectious diseases,Malaria,B50-B54,B51,NA,0,74,0,1
Infectious diseases,Malaria,B50-B54,B52,NA,0,74,0,1
Infectious diseases,Malaria,B50-B54,B53,NA,0,74,0,1
Infectious diseases,Malaria,B50-B54,B54,NA,0,74,0,1
Infectious diseases,Haemophilus and pneumococcal meningitis,"G00.0, G00.1",G00.0,NA,0,74,0,1
Infectious diseases,Haemophilus and pneumococcal meningitis,"G00.0, G00.1",G00.1,NA,0,74,0,1
Infectious diseases,Tuberculosis,"A15-A19, B90, J65",A15,NA,0,74,0.5,0.5
Infectious diseases,Tuberculosis,"A15-A19, B90, J65",A16,NA,0,74,0.5,0.5
Infectious diseases,Tuberculosis,"A15-A19, B90, J65",A17,NA,0,74,0.5,0.5
Infectious diseases,Tuberculosis,"A15-A19, B90, J65",A18,NA,0,74,0.5,0.5
Infectious diseases,Tuberculosis,"A15-A19, B90, J65",A19,NA,0,74,0.5,0.5
Infectious diseases,Tuberculosis,"A15-A19, B90, J65",B90,NA,0,74,0.5,0.5
Infectious diseases,Tuberculosis,"A15-A19, B90, J65",J65,NA,0,74,0.5,0.5
Infectious diseases,Scarlet fever,A38,A38,NA,0,74,0,0
Infectious diseases,Sepsis,"A40 (excl. A40.3), A41 (excl. A41.3)",A40,A40.3,0,74,0,0
Infectious diseases,Sepsis,"A40 (excl. A40.3), A41 (excl. A41.3)",A41,A41.3,0,74,0,0
Infectious diseases,Cellulitis,"A46, L03",A46,NA,0,74,0,0
Infectious diseases,Cellulitis,"A46, L03",L03,NA,0,74,0,0
Infectious diseases,Legionnaires disease,A48.1,A48.1,NA,0,74,0,0
Infectious diseases,Streptococcal and enterococci infection,A49.1,A49.1,NA,0,74,0,0
Infectious diseases,Other meningitis,"G00.2, G00.3, G00.8, G00.9",G00.2,NA,0,74,0,0
Infectious diseases,Other meningitis,"G00.2, G00.3, G00.8, G00.9",G00.3,NA,0,74,0,0
Infectious diseases,Other meningitis,"G00.2, G00.3, G00.8, G00.9",G00.8,NA,0,74,0,0
Infectious diseases,Other meningitis,"G00.2, G00.3, G00.8, G00.9",G00.9,NA,0,74,0,0
Infectious diseases,Meningitis due to other and unspecified causes,G03,G03,NA,0,74,0,0
Neoplasms,"Lip, oral cavity and pharynx cancer",C00-C14,C00,NA,0,74,0,1
Neoplasms,"Lip, oral cavity and pharynx cancer",C00-C14,C01,NA,0,74,0,1
Neoplasms,"Lip, oral cavity and pharynx cancer",C00-C14,C02,NA,0,74,0,1
Neoplasms,"Lip, oral cavity and pharynx cancer",C00-C14,C03,NA,0,74,0,1
Neoplasms,"Lip, oral cavity and pharynx cancer",C00-C14,C04,NA,0,74,0,1
Neoplasms,"Lip, oral cavity and pharynx cancer",C00-C14,C05,NA,0,74,0,1
Neoplasms,"Lip, oral cavity and pharynx cancer",C00-C14,C06,NA,0,74,0,1
Neoplasms,"Lip, oral cavity and pharynx cancer",C00-C14,C07,NA,0,74,0,1
Neoplasms,"Lip, oral cavity and pharynx cancer",C00-C14,C08,NA,0,74,0,1
Neoplasms,"Lip, oral cavity and pharynx cancer",C00-C14,C09,NA,0,74,0,1
Neoplasms,"Lip, oral cavity and pharynx cancer",C00-C14,C10,NA,0,74,0,1
Neoplasms,"Lip, oral cavity and pharynx cancer",C00-C14,C11,NA,0,74,0,1
Neoplasms,"Lip, oral cavity and pharynx cancer",C00-C14,C12,NA,0,74,0,1
Neoplasms,"Lip, oral cavity and pharynx cancer",C00-C14,C13,NA,0,74,0,1
Neoplasms,"Lip, oral cavity and pharynx cancer",C00-C14,C14,NA,0,74,0,1
Neoplasms,Oesophageal cancer,C15,C15,NA,0,74,0,1
Neoplasms,Stomach cancer,C16,C16,NA,0,74,0,1
