comorbidity,comorbidity_long,icd10_prefix,icd10_prefix_decimal
Alcohol,Alcohol abuse,"E52, F10, G621, I426, K292, K700, K703, K709, T51, Z502, Z714, Z721","E52, F10, G62.1, I42.6, K29.2, K70.0, K70.3, K70.9, T51, Z50.2, Z71.4, Z72.1"
Anemia,Deficiency anaemia,"D508, D509, D51, D52, D53","D50.8, D50.9, D51, D52, D53"
Arrhythmia,cardiac arrhythmias,"I441, I442, I443, I456, I459, I47, I48, I49, R000, R001, R008, T821, Z450, Z950","I44.1, I44.2, I44.3, I45.6, I45.9, I47, I48, I49, R00.0, R00.1, R00.8, T82.1, Z45.0, Z95.0"
BloodLoss,Blood loss anaemia,D500,D50.0
CHF,Congestive heart failure,"I099, I110, I130, I132, I255, I420, I425, I426, I427, I428, I429, I43, I50, P290","I09.9, I11.0, I13.0, I13.2, I25.5, I42.0, I42.5, I42.6, I42.7, I42.8, I42.9, I43, I50, P29.0"
Coagulopathy,Coagulopathy,"D65, D66, D67, D68, D691, D693, D694, D695, D696","D65, D66, D67, D68, D69.1, D69.3, D69.4, D69.5, D69.6"
Depression,Depression,"F204, F313, F314, F315, F32, F33, F341, F412, F432","F20.4, F31.3, F31.4, F31.5, F32, F33, F34.1, F41.2, F43.2"
DM,"Diabetes, uncomplicated","E100, E101, E109, E110, E111, E119, E120, E121, E129, E130, E131, E139, E140, E141, E149","E10.0, E10.1, E10.9, E11.0, E11.1, E11.9, E12.0, E12.1, E12.9, E13.0, E13.1, E13.9, E14.0, E14.1, E14.9"
DMcx,"Diabetes, complicated","E102, E103, E104, E105, E106, E107, E108, E112, E113, E114, E115, E116, E117, E118, E122, E123, E124, E125, E126, E127, E128, E132, E133, E134, E135, E136, E137, E138, E142, E143, E144, E145, E146, E147, E148","E10.2, E10.3, E10.4, E10.5, E10.6, E10.7, E10.8, E11.2, E11.3, E11.4, E11.5, E11.6, E11.7, E11.8, E12.2, E12.3, E12.4, E12.5, E12.6, E12.7, E12.8, E13.2, E13.3, E13.4, E13.5, E13.6, E13.7, E13.8, E14.2, E14.3, E14.4, E14.5, E14.6, E14.7, E14.8"
Drugs,Drug abuse,"F11, F12, F13, F14, F15, F16, F18, F19, Z715, Z722","F11, F12, F13, F14, F15, F16, F18, F19, Z71.5, Z72.2"
FluidsLytes,Fluid and electrolyte disorders,"E222, E86, E87","E22.2, E86, E87"
HIV,AIDS/HIV,"B20, B21, B22, B24","B20, B21, B22, B24"
HTN,"Hypertension, uncomplicated",I10,I10
HTNcx,"Hypertension, complicated","I11, I12, I13, I15","I11, I12, I13, I15"
Hypothyroid,Hypothyroidism,"E00, E01, E02, E03, E890","E00, E01, E02, E03, E89.0"
Liver,Liver disease,"B18, I85, I864, I982, K70, K711, K713, K714, K715, K717, K72, K73, K74, K760, K762, K763, K764, K765, K766, K767, K768, K769, Z944","B18, I85, I86.4, I98.2, K70, K71.1, K71.3, K71.4, K71.5, K71.7, K72, K73, K74, K76.0, K76.2, K76.3, K76.4, K76.5, K76.6, K76.7, K76.8, K76.9, Z94.4"
Lymphoma,Lymphoma,"C81, C82, C83, C84, C85, C88, C900, C902, C96","C81, C82, C83, C84, C85, C88, C90.0, C90.2, C96"
Mets,Metastatic cancer,"C77, C78, C79, C80","C77, C78, C79, C80"
NeuroOther,Other neurological disorders,"G10, G11, G12, G13, G20, G21, G22, G254, G255, G312, G318, G319, G32, G35, G36, G37, G40, G41, G931, G934, R470, R56","G10, G11, G12, G13, G20, G21, G22, G25.4, G25.5, G31.2, G31.8, G31.9, G32, G35, G36, G37, G40, G41, G93.1, G93.4, R47.0, R56"
Obesity,Obesity,E66,E66
Paralysis,Paralysis,"G041, G114, G801, G802, G81, G82, G830, G831, G832, G833, G834, G839","G04.1, G11.4, G80.1, G80.2, G81, G82, G83.0, G83.1, G83.2, G83.3, G83.4, G83.9"
PHTN,Pulmonary circulation disorders,"I26, I27, I28","I26, I27, I28"
Psychoses,Psychoses,"F20, F22, F23, F24, F25, F28, F29, F302, F312, F315","F20, F22, F23, F24, F25, F28, F29, F30.2, F31.2, F31.5"
PUD,Peptic ulcer disease,"K257, K259, K267, K269, K277, K279, K287, K289","K25.7, K25.9, K26.7, K26.9, K27.7, K27.9, K28.7, K28.9"
Pulmonary,Chronic pulmonary disease,"I278, I279, J40, J41, J42, J43, J44, J45, J46, J47, J60, J61, J62, J63, J64, J65, J66, J67, J684, J701, J703","I27.8, I27.9, J40, J41, J42, J43, J44, J45, J46, J47, J60, J61, J62, J63, J64, J65, J66, J67, J68.4, J70.1, J70.3"
PVD,Peripheral vascular disorders,"I70, I71, I731, I738, I739, I771, I790, I792, K551, K558, K559, Z958, Z959","I70, I71, I73.1, I73.8, I73.9, I77.1, I79.0, I79.2, K55.1, K55.8, K55.9, Z95.8, Z95.9"
Renal,Renal failure,"I120, I131, N18, N19, N250, Z490, Z491, Z492, Z940, Z992","I12.0, I13.1, N18, N19, N25.0, Z49.0, Z49.1, Z49.2, Z94.0, Z99.2"
Rheumatic,Rheumatoid arthritis/collagen vascular diseases,"L940, L941, L943, M05, M06, M08, M120, M123, M30, M310, M311, M312, M313, M32, M33, M34, M35, M45, M461, M468, M469","L94.0, L94.1, L94.3, M05, M06, M08, M12.0, M12.3, M30, M31.0, M31.1, M31.2, M31.3, M32, M33, M34, M35, M45, M46.1, M46.8, M46.9"
Tumor,Solid tumour without metastasis,"C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C30, C31, C32, C33, C34, C37, C38, C39, C40, C41, C43, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C97","C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C30, C31, C32, C33, C34, C37, C38, C39, C40, C41, C43, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C97"
Valvular,Valvular disease,"A520, I05, I06, I07, I08, I091, I098, I34, I35, I36, I37, I38, I39, Q230, Q231, Q232, Q233, Z952, Z953, Z954","A52.0, I05, I06, I07, I08, I09.1, I09.8, I34, I35, I36, I37, I38, I39, Q23.0, Q23.1, Q23.2, Q23.3, Z95.2, Z95.3, Z95.4"
WeightLoss,Weight loss,"E40, E41, E42, E43, E44, E45, E46, R634, R64","E40, E41, E42, E43, E44, E45, E46, R63.4, R64"
