cipher,board,location,unitcode,org_loc,sub_classification,description,main_classification,acute
A,SAA20,A101H,SAA20A101H,Arran War Memorial,A3,"General hospitals - mixed specialist hospitals (may have maternity units). Consultant type surgery undertaken, usually 250 and under average staffed beds.",General Hospitals (mainly acute),TRUE
A,SAA20,A103H,SAA20A103H,Ayrshire Central,B8,Long stay/acute hospitals - long stay geriatric units with some medical and surgical services.,Long Stay Hospitals,FALSE
A,SAA20,A110H,SAA20A110H,"Lady Margaret, Millport",J26,Community Hospitals,Clinics,FALSE
A,SAA20,A111H,SAA20A111H,Crosshouse Hospital,A2,"Large general hospitals - general hospitals with some teaching units, usually over 250 average staffed beds.",General Hospitals (mainly acute),TRUE
A,SAA20,A201H,SAA20A201H,"Ailsa, Ayr",C14,Mental illness hospitals with 250 and under average staffed beds.,Mental Hospitals,FALSE
A,SAA20,A208H,SAA20A208H,"Biggart, Prestwick",B6,Long stay hospitals (over 100 average staffed beds) - long stay geriatric units controlled by geriatrician. May be with young chronic sick unit.,Long Stay Hospitals,FALSE
A,SAA20,A210H,SAA20A210H,The Ayr Hospital,A2,"Large general hospitals - general hospitals with some teaching units, usually over 250 average staffed beds.",General Hospitals (mainly acute),TRUE
A,SAA20,A211H,SAA20A211H,Arrol Park Hospital,D17,Learning disabilities hospitals (150 and under average staffed beds).,Psychiatry of Learning Disabilities Hospitals,FALSE
A,SAA20,A215H,SAA20A215H,East Ayrshire Community Hospital,J26,Community Hospitals,Clinics,FALSE
A,SAA20,A216H,SAA20A216H,Girvan Community Hospital,J26,Community Hospitals,Clinics,FALSE
B,SBA20,B103H,SBA20B103H,"Knoll, Duns",J26,Community Hospitals,Clinics,FALSE
B,SBA20,B104H,SBA20B104H,East West Brig,G22,Other - New/Closed Locations - Hospitals subject to cost but in the process of retraction or closure (may include new hospitals with costs for part year).,Other,FALSE
B,SBA20,B105H,SBA20B105H,Hawick Community Hospital,J26,Community Hospitals,Clinics,FALSE
B,SBA20,B114H,SBA20B114H,Kelso Hospital,J26,Community Hospitals,Clinics,FALSE
B,SBA20,B118H,SBA20B118H,"Hay Lodge, Peebles",J26,Community Hospitals,Clinics,FALSE
B,SBA20,B120H,SBA20B120H,Borders General,A2,"Large general hospitals - general hospitals with some teaching units, usually over 250 average staffed beds.",General Hospitals (mainly acute),TRUE
B,SBA20,B120Z,SBA20B120Z,Cauldshiels,C14,Mental illness hospitals with 250 and under average staffed beds.,Mental Hospitals,FALSE
B,SBA20,B129H,SBA20B129H,Melburn Lodge,B9,Long stay/psychiatric hospitals - long stay geriatric units with geriatric psychiatry.,Long Stay Hospitals,FALSE
B,SBA20,B130H,SBA20B130H,Huntlyburn House,C14,Mental illness hospitals with 250 and under average staffed beds.,Mental Hospitals,FALSE
D,SDA01,D101H,SDA01D101H,State Hospital,C12,Teaching mental illness hospitals with major teaching or research units.,Mental Hospitals,FALSE
D,SDA02,D102H,SDA02D102H,Golden Jubilee National Hospital,G21,Other - Miscellaneous hospitals in which function and/or costs are not comparable with other hospitals.,Other,TRUE
F,SFA20,F701H,SFA20F701H,"Cameron, Windygates",B7,Small long stay hospitals (100 and under average staffed beds) - long stay geriatric units controlled by geriatrician. May be with young chronic sick unit.,Long Stay Hospitals,FALSE
F,SFA20,F704H,SFA20F704H,Victoria Kirkcaldy,A2,"Large general hospitals - general hospitals with some teaching units, usually over 250 average staffed beds.",General Hospitals (mainly acute),TRUE
F,SFA20,F708H,SFA20F708H,"Adamson, Cupar",J26,Community Hospitals,Clinics,FALSE
F,SFA20,F709H,SFA20F709H,St Andrews Community Hospital,J26,Community Hospitals,Clinics,FALSE
